,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count
83,model-optimization,tensorflow model-optimization.,https://github.com/tensorflow/model-optimization,tensorflow/model-optimization,./screenshots/model-optimization.png,模型压缩与优化,True,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28,2021-04-28 05:16:47,2021-04-28 05:16:40,231,62.0,117.0,1031,540.0,2020-09-14 04:46:03,0.5.0,13.0,49.0,21,2,,,756.0,756.0
84,bottom-up-attention,peteanderson80 bottom-up-attention.,https://github.com/peteanderson80/bottom-up-attention,peteanderson80/bottom-up-attention,./screenshots/fbottom-up-attention.png,图文转换ImageCaptioning与视觉问答VQA,True,https://github.com/peteanderson80/bottom-up-attention,MIT,2017-05-26 23:00:39,2021-02-14 19:08:48,2021-02-14 19:08:48,287,58.0,44.0,1014,55.0,,,,5.0,13,1,,,,
85,super-resolution,krasserm super-resolution.,https://github.com/krasserm/super-resolution,krasserm/super-resolution,./screenshots/super-resolution.png,图像超分辨率,True,https://github.com/krasserm/super-resolution,Apache-2.0,2018-10-17 10:46:49,2021-04-13 13:01:14,2020-12-18 10:15:13,258,36.0,42.0,993,63.0,,,,,13,3,,,,
86,Advanced-Deep-Learning-with-Keras,PacktPublishing Advanced-Deep-Learning-with-Keras.,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,PacktPublishing/Advanced-Deep-Learning-with-Keras,./screenshots/Advanced-Deep-Learning-with-Keras.png,生成对抗网络GAN,True,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,MIT,2018-03-15 07:08:43,2021-01-14 15:58:17,2021-01-14 15:58:16,561,,15.0,947,433.0,,,,4.0,13,3,,,,
87,medical-detection-toolkit,MIC-DKFZ medicaldetectiontoolkit.,https://github.com/MIC-DKFZ/medicaldetectiontoolkit,MIC-DKFZ/medicaldetectiontoolkit,./screenshots/medicaldetectiontoolkit.png,图像分割,True,https://github.com/MIC-DKFZ/medicaldetectiontoolkit,Apache-2.0,2018-10-12 12:34:57,2021-03-30 11:54:29,2021-03-30 11:54:21,239,28.0,85.0,944,37.0,,,,3.0,13,3,,,,
88,Awesome-Super-Resolution,ChaofWang Awesome-Super-Resolution.,https://github.com/ChaofWang/Awesome-Super-Resolution,ChaofWang/Awesome-Super-Resolution,./screenshots/Awesome-Super-Resolution.png,图像超分辨率,True,https://github.com/ChaofWang/Awesome-Super-Resolution,,2019-04-20 15:32:50,2021-04-22 02:30:28,2021-04-22 02:30:28,175,1.0,3.0,862,158.0,,,,,12,3,,,,
89,pytorch_image_classification,hysts pytorch_image_classification.,https://github.com/hysts/pytorch_image_classification,hysts/pytorch_image_classification,./screenshots/pytorch_image_classification.png,图像分类,True,https://github.com/hysts/pytorch_image_classification,MIT,2017-12-09 22:32:57,2021-02-06 09:27:16,2021-02-06 09:25:27,205,1.0,23.0,826,184.0,,,,,14,3,,,,
90,instagan,sangwoomo instagan.,https://github.com/sangwoomo/instagan,sangwoomo/instagan,./screenshots/instagan.png,图图转换ImageTranslation,True,https://github.com/sangwoomo/instagan,,2018-12-16 20:00:10,2019-12-20 02:24:05,2019-12-20 02:24:05,155,5.0,53.0,767,320.0,,,,31.0,12,3,,,,
91,medicaltorch,perone medicaltorch.,https://github.com/perone/medicaltorch,perone/medicaltorch,./screenshots/medicaltorch.png,医疗影像,True,https://github.com/perone/medicaltorch,Apache-2.0,2018-02-27 02:50:07,2021-04-16 18:50:54,2021-04-16 18:50:54,107,13.0,9.0,727,57.0,2018-11-24 00:33:11,0.2,1.0,8.0,14,2,,,10.0,10.0
92,PaddleSlim,PaddlePaddle PaddleSlim.,https://github.com/PaddlePaddle/PaddleSlim,PaddlePaddle/PaddleSlim,./screenshots/PaddleSlim.png,模型压缩与优化,True,https://github.com/PaddlePaddle/PaddleSlim,Apache-2.0,2019-12-16 02:56:50,2021-04-28 12:31:06,2021-04-02 02:11:40,140,99.0,77.0,713,,2021-02-08 02:28:05,2.0.0,2.0,27.0,17,2,,,20.0,20.0
93,pytorch-segmentation-detection,pytorch-segmentation-detection.,https://github.com/warmspringwinds/pytorch-segmentation-detection,warmspringwinds/pytorch-segmentation-detection,./screenshots/pytorch-segmentation-detection.png,图像分割,True,https://github.com/warmspringwinds/pytorch-segmentation-detection,,2017-06-10 16:57:15,2019-07-28 18:30:17,2019-07-28 18:30:05,153,14.0,6.0,699,265.0,,,,4.0,11,3,,,,
94,awesome-image-captioning,zhjohnchan awesome-image-captioning.,https://github.com/zhjohnchan/awesome-image-captioning,zhjohnchan/awesome-image-captioning,./screenshots/awesome-image-captioning.png,图文转换ImageCaptioning与视觉问答VQA,True,https://github.com/zhjohnchan/awesome-image-captioning,,2018-08-16 07:52:51,2021-04-03 18:07:03,2021-04-03 18:07:03,143,3.0,4.0,683,51.0,,,,3.0,10,2,,,,
95,DRIT,HsinYingLee DRIT.,https://github.com/HsinYingLee/DRIT,HsinYingLee/DRIT,./screenshots/DRIT.png,图图转换ImageTranslation,True,https://github.com/HsinYingLee/DRIT,,2018-03-26 00:31:06,2020-08-05 02:33:28,2020-07-07 20:47:25,126,18.0,32.0,675,105.0,,,,5.0,9,3,,,,
96,PaddlePaddle-PaddleClas,PaddlePaddle PaddleClas.,https://github.com/PaddlePaddle/PaddleClas,PaddlePaddle/PaddleClas,./screenshots/PaddlePaddle-PaddleClas.png,图像分类,True,https://github.com/PaddlePaddle/PaddleClas,Apache-2.0,2020-03-30 04:27:42,2021-04-28 09:36:09,2021-04-28 09:36:09,184,65.0,151.0,670,,2021-04-23 08:54:07,2.1.0,2.0,26.0,17,2,,,6.0,6.0
